date,league,home,away,home_odds,away_odds,prediction,confidence,result,h_score,a_score
FT,Serie A,Udinese,AS Roma,2.21,1.67,ðŸ’Ž KASA: MS 2 [STAKE %4.9],0,lost,1,0
FT,SÃ¼per Lig,Kocaelispor,Fenerbahce,2.89,1.42,ðŸ’Ž KASA: MS 2 [STAKE %6.7],0,won,0,2
FT,Primeira Liga,AVS,Braga,12.0,1.05,ðŸ’Ž KASA: MS 2 [STAKE %20.9],0,won,0,4
FT,Primeira Liga,Casa Pia,FC Porto,4.33,1.22,ðŸ’Ž KASA: MS 2 [STAKE %13.0],0,lost,2,1
FT,Championship,Blackburn Rovers,Sheffield Wednesday,3.25,1.35,ðŸ’Ž KASA: MS 2 [STAKE %14.2],0,lost,1,0
Postponed,Championship,Portsmouth,Ipswich Town,3.34,1.33,ðŸ’Ž KASA: MS 2 [STAKE %14.7],0,lost,0,0
Bitti/2OT,NBA,Knicks,Nuggets,1.34,3.3,ðŸ’Ž KASA: MS 1 [STAKE %6.3],0,won,134,127
Bitti,NBA,Kings,Grizzlies,3.75,1.28,ðŸ’Ž KASA: MS 2 [STAKE %16.1],0,won,125,129
Bitti,NBA,Pistons,Nuggets,1.15,5.62,ðŸ’Ž KASA: MS 1 [STAKE %11.6],0,won,124,121
Bitti,NBA,Pacers,Jazz,3.4,1.32,ðŸ’Ž KASA: MS 2 [STAKE %9.4],0,won,122,131
Bitti,NBA,Wizards,Knicks,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,101,132
Bitti,NBA,Nets,Lakers,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,109,125
Bitti,NBA,Thunder,Magic,1.1,6.94,ðŸ’Ž KASA: MS 1,86,won,128,92
Bitti,NBA,Pacers,Rockets,3.33,1.33,ðŸ’Ž KASA: MS 2 [STAKE %9.3],0,won,114,118
FT,Premier League,Sunderland,Burnley,2.31,1.62,ðŸ’Ž KASA: MS 2 [STAKE %6.5],0,lost,3,0
FT,La Liga,Mallorca,Sevilla,3.17,1.36,ðŸ’Ž KASA: MS 2 [STAKE %8.6],0,lost,4,1
FT,Serie A,Bologna,AC Milan,2.49,1.54,ðŸ’Ž KASA: MS 2 [STAKE %8.7],0,won,0,3
FT,Serie A,Udinese,AS Roma,2.21,1.67,ðŸ’Ž KASA: MS 2 [STAKE %4.9],0,lost,1,0
FT,SÃ¼per Lig,Kocaelispor,Fenerbahce,2.89,1.42,ðŸ’Ž KASA: MS 2 [STAKE %6.7],0,won,0,2
FT,Primeira Liga,AVS,Braga,12.0,1.05,ðŸ’Ž KASA: MS 2 [STAKE %20.9],0,won,0,4
FT,Primeira Liga,Casa Pia,FC Porto,4.33,1.22,ðŸ’Ž KASA: MS 2 [STAKE %13.0],0,lost,2,1
FT,Championship,Blackburn Rovers,Sheffield Wednesday,3.25,1.35,ðŸ’Ž KASA: MS 2 [STAKE %14.2],0,lost,1,0
Postponed,Championship,Portsmouth,Ipswich Town,3.34,1.33,ðŸ’Ž KASA: MS 2 [STAKE %14.7],0,lost,0,0
Bitti/2OT,NBA,Knicks,Nuggets,1.34,3.3,ðŸ’Ž KASA: MS 1 [STAKE %6.3],0,won,134,127
Bitti,NBA,Kings,Grizzlies,3.75,1.28,ðŸ’Ž KASA: MS 2 [STAKE %16.1],0,won,125,129
Bitti,NBA,Pistons,Nuggets,1.15,5.62,ðŸ’Ž KASA: MS 1 [STAKE %11.6],0,won,124,121
Bitti,NBA,Pacers,Jazz,3.4,1.32,ðŸ’Ž KASA: MS 2 [STAKE %9.4],0,won,122,131
Bitti,NBA,Wizards,Knicks,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,101,132
Bitti,NBA,Nets,Lakers,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,109,125
Bitti,NBA,Thunder,Magic,1.1,6.94,ðŸ’Ž KASA: MS 1,86,won,128,92
Bitti,NBA,Pacers,Rockets,3.33,1.33,ðŸ’Ž KASA: MS 2 [STAKE %9.3],0,won,114,118
FT,Premier League,Sunderland,Burnley,2.31,1.62,ðŸ’Ž KASA: MS 2 [STAKE %6.5],0,lost,3,0
FT,La Liga,Mallorca,Sevilla,3.17,1.36,ðŸ’Ž KASA: MS 2 [STAKE %8.6],0,lost,4,1
FT,Serie A,Bologna,AC Milan,2.49,1.54,ðŸ’Ž KASA: MS 2 [STAKE %8.7],0,won,0,3
FT,Serie A,Udinese,AS Roma,2.21,1.67,ðŸ’Ž KASA: MS 2 [STAKE %4.9],0,lost,1,0
FT,SÃ¼per Lig,Kocaelispor,Fenerbahce,2.89,1.42,ðŸ’Ž KASA: MS 2 [STAKE %6.7],0,won,0,2
FT,Primeira Liga,AVS,Braga,12.0,1.05,ðŸ’Ž KASA: MS 2 [STAKE %20.9],0,won,0,4
FT,Primeira Liga,Casa Pia,FC Porto,4.33,1.22,ðŸ’Ž KASA: MS 2 [STAKE %13.0],0,lost,2,1
FT,Championship,Blackburn Rovers,Sheffield Wednesday,3.25,1.35,ðŸ’Ž KASA: MS 2 [STAKE %14.2],0,lost,1,0
Postponed,Championship,Portsmouth,Ipswich Town,3.34,1.33,ðŸ’Ž KASA: MS 2 [STAKE %14.7],0,lost,0,0
Bitti/2OT,NBA,Knicks,Nuggets,1.34,3.3,ðŸ’Ž KASA: MS 1 [STAKE %6.3],0,won,134,127
Bitti,NBA,Kings,Grizzlies,3.75,1.28,ðŸ’Ž KASA: MS 2 [STAKE %16.1],0,won,125,129
Bitti,NBA,Pistons,Nuggets,1.15,5.62,ðŸ’Ž KASA: MS 1 [STAKE %11.6],0,won,124,121
Bitti,NBA,Pacers,Jazz,3.4,1.32,ðŸ’Ž KASA: MS 2 [STAKE %9.4],0,won,122,131
Bitti,NBA,Wizards,Knicks,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,101,132
Bitti,NBA,Nets,Lakers,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,109,125
Bitti,NBA,Thunder,Magic,1.1,6.94,ðŸ’Ž KASA: MS 1,86,won,128,92
Bitti,NBA,Pacers,Rockets,3.33,1.33,ðŸ’Ž KASA: MS 2 [STAKE %9.3],0,won,114,118
FT,Premier League,Sunderland,Burnley,2.31,1.62,ðŸ’Ž KASA: MS 2 [STAKE %6.5],0,lost,3,0
FT,La Liga,Mallorca,Sevilla,3.17,1.36,ðŸ’Ž KASA: MS 2 [STAKE %8.6],0,lost,4,1
FT,Serie A,Bologna,AC Milan,2.49,1.54,ðŸ’Ž KASA: MS 2 [STAKE %8.7],0,won,0,3
FT,Serie A,Udinese,AS Roma,2.21,1.67,ðŸ’Ž KASA: MS 2 [STAKE %4.9],0,lost,1,0
FT,SÃ¼per Lig,Kocaelispor,Fenerbahce,2.89,1.42,ðŸ’Ž KASA: MS 2 [STAKE %6.7],0,won,0,2
FT,Primeira Liga,AVS,Braga,12.0,1.05,ðŸ’Ž KASA: MS 2 [STAKE %20.9],0,won,0,4
FT,Primeira Liga,Casa Pia,FC Porto,4.33,1.22,ðŸ’Ž KASA: MS 2 [STAKE %13.0],0,lost,2,1
FT,Championship,Blackburn Rovers,Sheffield Wednesday,3.25,1.35,ðŸ’Ž KASA: MS 2 [STAKE %14.2],0,lost,1,0
Postponed,Championship,Portsmouth,Ipswich Town,3.34,1.33,ðŸ’Ž KASA: MS 2 [STAKE %14.7],0,lost,0,0
Bitti/2OT,NBA,Knicks,Nuggets,1.34,3.3,ðŸ’Ž KASA: MS 1 [STAKE %6.3],0,won,134,127
Bitti,NBA,Kings,Grizzlies,3.75,1.28,ðŸ’Ž KASA: MS 2 [STAKE %16.1],0,won,125,129
Bitti,NBA,Pistons,Nuggets,1.15,5.62,ðŸ’Ž KASA: MS 1 [STAKE %11.6],0,won,124,121
Bitti,NBA,Pacers,Jazz,3.4,1.32,ðŸ’Ž KASA: MS 2 [STAKE %9.4],0,won,122,131
Bitti,NBA,Wizards,Knicks,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,101,132
Bitti,NBA,Nets,Lakers,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,109,125
Bitti,NBA,Thunder,Magic,1.1,6.94,ðŸ’Ž KASA: MS 1,86,won,128,92
Bitti,NBA,Pacers,Rockets,3.33,1.33,ðŸ’Ž KASA: MS 2 [STAKE %9.3],0,won,114,118
FT,Premier League,Sunderland,Burnley,2.31,1.62,ðŸ’Ž KASA: MS 2 [STAKE %6.5],0,lost,3,0
FT,La Liga,Mallorca,Sevilla,3.17,1.36,ðŸ’Ž KASA: MS 2 [STAKE %8.6],0,lost,4,1
FT,Serie A,Bologna,AC Milan,2.49,1.54,ðŸ’Ž KASA: MS 2 [STAKE %8.7],0,won,0,3
FT,Serie A,Udinese,AS Roma,2.21,1.67,ðŸ’Ž KASA: MS 2 [STAKE %4.9],0,lost,1,0
FT,SÃ¼per Lig,Kocaelispor,Fenerbahce,2.89,1.42,ðŸ’Ž KASA: MS 2 [STAKE %6.7],0,won,0,2
FT,Primeira Liga,AVS,Braga,12.0,1.05,ðŸ’Ž KASA: MS 2 [STAKE %20.9],0,won,0,4
FT,Primeira Liga,Casa Pia,FC Porto,4.33,1.22,ðŸ’Ž KASA: MS 2 [STAKE %13.0],0,lost,2,1
FT,Championship,Blackburn Rovers,Sheffield Wednesday,3.25,1.35,ðŸ’Ž KASA: MS 2 [STAKE %14.2],0,lost,1,0
Postponed,Championship,Portsmouth,Ipswich Town,3.34,1.33,ðŸ’Ž KASA: MS 2 [STAKE %14.7],0,lost,0,0
Bitti/2OT,NBA,Knicks,Nuggets,1.34,3.3,ðŸ’Ž KASA: MS 1 [STAKE %6.3],0,won,134,127
Bitti,NBA,Kings,Grizzlies,3.75,1.28,ðŸ’Ž KASA: MS 2 [STAKE %16.1],0,won,125,129
Bitti,NBA,Pistons,Nuggets,1.15,5.62,ðŸ’Ž KASA: MS 1 [STAKE %11.6],0,won,124,121
Bitti,NBA,Pacers,Jazz,3.4,1.32,ðŸ’Ž KASA: MS 2 [STAKE %9.4],0,won,122,131
Bitti,NBA,Wizards,Knicks,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,101,132
Bitti,NBA,Nets,Lakers,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,109,125
Bitti,NBA,Thunder,Magic,1.1,6.94,ðŸ’Ž KASA: MS 1,86,won,128,92
Bitti,NBA,Pacers,Rockets,3.33,1.33,ðŸ’Ž KASA: MS 2 [STAKE %9.3],0,won,114,118
FT,Premier League,Sunderland,Burnley,2.31,1.62,ðŸ’Ž KASA: MS 2 [STAKE %6.5],0,lost,3,0
FT,La Liga,Mallorca,Sevilla,3.17,1.36,ðŸ’Ž KASA: MS 2 [STAKE %8.6],0,lost,4,1
FT,Serie A,Bologna,AC Milan,2.49,1.54,ðŸ’Ž KASA: MS 2 [STAKE %8.7],0,won,0,3
FT,Serie A,Udinese,AS Roma,2.21,1.67,ðŸ’Ž KASA: MS 2 [STAKE %4.9],0,lost,1,0
FT,SÃ¼per Lig,Kocaelispor,Fenerbahce,2.89,1.42,ðŸ’Ž KASA: MS 2 [STAKE %6.7],0,won,0,2
FT,Primeira Liga,AVS,Braga,12.0,1.05,ðŸ’Ž KASA: MS 2 [STAKE %20.9],0,won,0,4
FT,Primeira Liga,Casa Pia,FC Porto,4.33,1.22,ðŸ’Ž KASA: MS 2 [STAKE %13.0],0,lost,2,1
FT,Championship,Blackburn Rovers,Sheffield Wednesday,3.25,1.35,ðŸ’Ž KASA: MS 2 [STAKE %14.2],0,lost,1,0
Postponed,Championship,Portsmouth,Ipswich Town,3.34,1.33,ðŸ’Ž KASA: MS 2 [STAKE %14.7],0,lost,0,0
Bitti/2OT,NBA,Knicks,Nuggets,1.34,3.3,ðŸ’Ž KASA: MS 1 [STAKE %6.3],0,won,134,127
Bitti,NBA,Kings,Grizzlies,3.75,1.28,ðŸ’Ž KASA: MS 2 [STAKE %16.1],0,won,125,129
Bitti,NBA,Pistons,Nuggets,1.15,5.62,ðŸ’Ž KASA: MS 1 [STAKE %11.6],0,won,124,121
Bitti,NBA,Pacers,Jazz,3.4,1.32,ðŸ’Ž KASA: MS 2 [STAKE %9.4],0,won,122,131
Bitti,NBA,Wizards,Knicks,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,101,132
Bitti,NBA,Nets,Lakers,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,109,125
Bitti,NBA,Thunder,Magic,1.1,6.94,ðŸ’Ž KASA: MS 1,86,won,128,92
Bitti,NBA,Pacers,Rockets,3.33,1.33,ðŸ’Ž KASA: MS 2 [STAKE %9.3],0,won,114,118
FT,Serie A,Bologna,AC Milan,2.49,1.54,ðŸ’Ž KASA: MS 2 [STAKE %8.7],0,won,0,3
FT,Championship,Blackburn Rovers,Sheffield Wednesday,3.25,1.35,ðŸ’Ž KASA: MS 2 [STAKE %14.2],0,lost,1,0
Postponed,Championship,Portsmouth,Ipswich Town,3.34,1.33,ðŸ’Ž KASA: MS 2 [STAKE %14.7],0,lost,0,0
Bitti/2OT,NBA,Knicks,Nuggets,1.34,3.3,ðŸ’Ž KASA: MS 1 [STAKE %6.3],0,won,134,127
Bitti,NBA,Kings,Grizzlies,3.75,1.28,ðŸ’Ž KASA: MS 2 [STAKE %16.1],0,won,125,129
Bitti,NBA,Pistons,Nuggets,1.15,5.62,ðŸ’Ž KASA: MS 1 [STAKE %11.6],0,won,124,121
Bitti,NBA,Pacers,Jazz,3.4,1.32,ðŸ’Ž KASA: MS 2 [STAKE %9.4],0,won,122,131
Bitti,NBA,Wizards,Knicks,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,101,132
Bitti,NBA,Nets,Lakers,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,109,125
Bitti,NBA,Thunder,Magic,1.1,6.94,ðŸ’Ž KASA: MS 1,86,won,128,92
FT,Serie A,Bologna,AC Milan,2.49,1.54,ðŸ’Ž KASA: MS 2 [STAKE %8.7],0,won,0,3
FT,Championship,Blackburn Rovers,Sheffield Wednesday,3.25,1.35,ðŸ’Ž KASA: MS 2 [STAKE %14.2],0,lost,1,0
Postponed,Championship,Portsmouth,Ipswich Town,3.34,1.33,ðŸ’Ž KASA: MS 2 [STAKE %14.7],0,lost,0,0
Bitti/2OT,NBA,Knicks,Nuggets,1.34,3.3,ðŸ’Ž KASA: MS 1 [STAKE %6.3],0,won,134,127
Bitti,NBA,Kings,Grizzlies,3.75,1.28,ðŸ’Ž KASA: MS 2 [STAKE %16.1],0,won,125,129
Bitti,NBA,Pistons,Nuggets,1.15,5.62,ðŸ’Ž KASA: MS 1 [STAKE %11.6],0,won,124,121
Bitti,NBA,Pacers,Jazz,3.4,1.32,ðŸ’Ž KASA: MS 2 [STAKE %9.4],0,won,122,131
Bitti,NBA,Wizards,Knicks,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,101,132
Bitti,NBA,Nets,Lakers,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,109,125
Bitti,NBA,Thunder,Magic,1.1,6.94,ðŸ’Ž KASA: MS 1,86,won,128,92
FT,Serie A,Bologna,AC Milan,2.49,1.54,ðŸ’Ž KASA: MS 2 [STAKE %8.7],0,won,0,3
FT,Championship,Blackburn Rovers,Sheffield Wednesday,3.25,1.35,ðŸ’Ž KASA: MS 2 [STAKE %14.2],0,lost,1,0
Postponed,Championship,Portsmouth,Ipswich Town,3.34,1.33,ðŸ’Ž KASA: MS 2 [STAKE %14.7],0,lost,0,0
Bitti/2OT,NBA,Knicks,Nuggets,1.34,3.3,ðŸ’Ž KASA: MS 1 [STAKE %6.3],0,won,134,127
Bitti,NBA,Kings,Grizzlies,3.75,1.28,ðŸ’Ž KASA: MS 2 [STAKE %16.1],0,won,125,129
Bitti,NBA,Pistons,Nuggets,1.15,5.62,ðŸ’Ž KASA: MS 1 [STAKE %11.6],0,won,124,121
Bitti,NBA,Pacers,Jazz,3.4,1.32,ðŸ’Ž KASA: MS 2 [STAKE %9.4],0,won,122,131
Bitti,NBA,Wizards,Knicks,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,101,132
Bitti,NBA,Nets,Lakers,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,109,125
Bitti,NBA,Thunder,Magic,1.1,6.94,ðŸ’Ž KASA: MS 1,86,won,128,92
FT,Serie A,Bologna,AC Milan,2.49,1.54,ðŸ’Ž KASA: MS 2 [STAKE %8.7],0,won,0,3
FT,Championship,Blackburn Rovers,Sheffield Wednesday,3.25,1.35,ðŸ’Ž KASA: MS 2 [STAKE %14.2],0,lost,1,0
Postponed,Championship,Portsmouth,Ipswich Town,3.34,1.33,ðŸ’Ž KASA: MS 2 [STAKE %14.7],0,lost,0,0
Bitti/2OT,NBA,Knicks,Nuggets,1.34,3.3,ðŸ’Ž KASA: MS 1 [STAKE %6.3],0,won,134,127
Bitti,NBA,Kings,Grizzlies,3.75,1.28,ðŸ’Ž KASA: MS 2 [STAKE %16.1],0,won,125,129
Bitti,NBA,Pistons,Nuggets,1.15,5.62,ðŸ’Ž KASA: MS 1 [STAKE %11.6],0,won,124,121
Bitti,NBA,Pacers,Jazz,3.4,1.32,ðŸ’Ž KASA: MS 2 [STAKE %9.4],0,won,122,131
Bitti,NBA,Wizards,Knicks,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,101,132
Bitti,NBA,Nets,Lakers,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,109,125
Bitti,NBA,Thunder,Magic,1.1,6.94,ðŸ’Ž KASA: MS 1,86,won,128,92
FT,Serie A,Bologna,AC Milan,2.49,1.54,ðŸ’Ž KASA: MS 2 [STAKE %8.7],0,won,0,3
FT,Championship,Blackburn Rovers,Sheffield Wednesday,3.25,1.35,ðŸ’Ž KASA: MS 2 [STAKE %14.2],0,lost,1,0
Postponed,Championship,Portsmouth,Ipswich Town,3.34,1.33,ðŸ’Ž KASA: MS 2 [STAKE %14.7],0,lost,0,0
Bitti/2OT,NBA,Knicks,Nuggets,1.34,3.3,ðŸ’Ž KASA: MS 1 [STAKE %6.3],0,won,134,127
Bitti,NBA,Kings,Grizzlies,3.75,1.28,ðŸ’Ž KASA: MS 2 [STAKE %16.1],0,won,125,129
Bitti,NBA,Pistons,Nuggets,1.15,5.62,ðŸ’Ž KASA: MS 1 [STAKE %11.6],0,won,124,121
Bitti,NBA,Pacers,Jazz,3.4,1.32,ðŸ’Ž KASA: MS 2 [STAKE %9.4],0,won,122,131
Bitti,NBA,Wizards,Knicks,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,101,132
Bitti,NBA,Nets,Lakers,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,109,125
Bitti,NBA,Thunder,Magic,1.1,6.94,ðŸ’Ž KASA: MS 1,86,won,128,92
FT,Serie A,Bologna,AC Milan,2.49,1.54,ðŸ’Ž KASA: MS 2 [STAKE %8.7],0,won,0,3
FT,Championship,Blackburn Rovers,Sheffield Wednesday,3.25,1.35,ðŸ’Ž KASA: MS 2 [STAKE %14.2],0,lost,1,0
Postponed,Championship,Portsmouth,Ipswich Town,3.34,1.33,ðŸ’Ž KASA: MS 2 [STAKE %14.7],0,lost,0,0
Bitti/2OT,NBA,Knicks,Nuggets,1.34,3.3,ðŸ’Ž KASA: MS 1 [STAKE %6.3],0,won,134,127
Bitti,NBA,Kings,Grizzlies,3.75,1.28,ðŸ’Ž KASA: MS 2 [STAKE %16.1],0,won,125,129
Bitti,NBA,Pistons,Nuggets,1.15,5.62,ðŸ’Ž KASA: MS 1 [STAKE %11.6],0,won,124,121
Bitti,NBA,Pacers,Jazz,3.4,1.32,ðŸ’Ž KASA: MS 2 [STAKE %9.4],0,won,122,131
Bitti,NBA,Wizards,Knicks,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,101,132
Bitti,NBA,Nets,Lakers,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,109,125
Bitti,NBA,Thunder,Magic,1.1,6.94,ðŸ’Ž KASA: MS 1,86,won,128,92
FT,Serie A,Bologna,AC Milan,2.49,1.54,ðŸ’Ž KASA: MS 2 [STAKE %8.7],0,won,0,3
FT,Championship,Blackburn Rovers,Sheffield Wednesday,3.25,1.35,ðŸ’Ž KASA: MS 2 [STAKE %14.2],0,lost,1,0
Postponed,Championship,Portsmouth,Ipswich Town,3.34,1.33,ðŸ’Ž KASA: MS 2 [STAKE %14.7],0,lost,0,0
Bitti,NBA,Pistons,Wizards,1.17,5.12,ðŸ”¥ BANKO: MS 1,81,lost,117,126
Bitti/2OT,NBA,Knicks,Nuggets,1.34,3.3,ðŸ’Ž KASA: MS 1 [STAKE %6.3],0,won,134,127
Bitti,NBA,Kings,Grizzlies,3.75,1.28,ðŸ’Ž KASA: MS 2 [STAKE %16.1],0,won,125,129
Bitti,NBA,Pistons,Nuggets,1.15,5.62,ðŸ’Ž KASA: MS 1 [STAKE %11.6],0,won,124,121
Bitti,NBA,Pacers,Jazz,3.4,1.32,ðŸ’Ž KASA: MS 2 [STAKE %9.4],0,won,122,131
Bitti,NBA,Wizards,Knicks,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,101,132
Bitti,NBA,Nets,Lakers,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,109,125
Bitti,NBA,Thunder,Magic,1.1,6.94,ðŸ’Ž KASA: MS 1,86,won,128,92
FT,Serie A,Bologna,AC Milan,2.49,1.54,ðŸ’Ž KASA: MS 2 [STAKE %8.7],0,won,0,3
FT,Championship,Blackburn Rovers,Sheffield Wednesday,3.25,1.35,ðŸ’Ž KASA: MS 2 [STAKE %14.2],0,lost,1,0
Postponed,Championship,Portsmouth,Ipswich Town,3.34,1.33,ðŸ’Ž KASA: MS 2 [STAKE %14.7],0,lost,0,0
Bitti,NBA,Pistons,Wizards,1.17,5.12,ðŸ”¥ BANKO: MS 1,81,lost,117,126
Bitti/2OT,NBA,Knicks,Nuggets,1.34,3.3,ðŸ’Ž KASA: MS 1 [STAKE %6.3],0,won,134,127
Bitti,NBA,Kings,Grizzlies,3.75,1.28,ðŸ’Ž KASA: MS 2 [STAKE %16.1],0,won,125,129
Bitti,NBA,Pistons,Nuggets,1.15,5.62,ðŸ’Ž KASA: MS 1 [STAKE %11.6],0,won,124,121
Bitti,NBA,Pacers,Jazz,3.4,1.32,ðŸ’Ž KASA: MS 2 [STAKE %9.4],0,won,122,131
Bitti,NBA,Wizards,Knicks,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,101,132
Bitti,NBA,Nets,Lakers,3.26,1.34,ðŸ’Ž KASA: MS 2 [STAKE %8.8],0,won,109,125
Bitti,NBA,Thunder,Magic,1.1,6.94,ðŸ’Ž KASA: MS 1,86,won,128,92
